ID,Year,Site,Lat,Lon,Sex,Days in lab,RBM,AGD.c,TotalVocalizations,note_num,call_length,trill_rate,call_Hz_max,call_Hz_min,call_BW_mean,call_BW_max,call_DF,entropy
SGTm125,2016,CC,-9.55435,-83.80546,M,2,-0.861384148,0.257276589,8,78.5,7.205,10.85,78582.75,7630,27834.1,70950,26099,-4.905
SGTm126,2016,CC,-9.55435,-83.80546,M,2,-0.234104565,0.257276589,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
SGTm128,2016,CC,-9.55435,-83.80546,M,2,0.765895435,2.500913869,1,73,6.28,11.6,52642.8,8390,26786.5,44300,24504.2,-4.55
SGTm129,2016,CC,-9.55435,-83.80546,M,2,-1.234104565,0.257276589,8,76.61538462,7.493076923,10.22538462,51762.50769,7921.538462,25060.36154,43846.15385,27905.2,-4.293076923
SGTm130,2016,CC,-9.55435,-83.80546,M,2,-1.652290954,-0.864542051,0,76,6.72,11.3,37384,6870,26441.9,30500,26549,-4.71
SGTf01,2015,PH,9.54955,-83.81023,F,1,1.256802241,-1.12127913,0,86,6.92,12.4,89263.9,9920,44188.4,79300,28348.3,-4.575
SGTf02,2015,QERC,9.55262,-83.80635,F,2,1.347709046,-0.061802787,2,78,6.44,12.1,44632,10310,24014.7,34350,27979.4,-5.13
SGTf03,2015,PH,9.54955,-83.81023,F,3,0.429522657,-0.061802787,0,48.66666667,3.523333333,13.83333333,43741.83333,9160,24650.13333,34566.66667,21296.23333,-4.71
SGTf04,2015,MH,9.58061,-83.79934,F,9,0.056802241,-1.12127913,4,77.85714286,6.692857143,11.65714286,69100.52857,9164.285714,29128.02857,59957.14286,21833.28571,-4.712857143
SGTf05,2015,PH,9.54955,-83.81023,F,2,1.438615852,0.467935385,5,75.8125,6.67375,11.375,49448.00625,9728.75,24070.66875,39737.5,22258.7375,-4.859375
SGTf06,2015,QERC,9.55262,-83.80635,F,2,1.347709046,0.467935385,1,66.75,5.8125,11.525,69236.75,9350,29155.375,59900,20079,-4.3375
SGTf07,2015,QERC,9.55262,-83.80635,F,3,1.147709046,-0.591540958,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
SGTf08,2015,QERC,9.55262,-83.80635,F,2,2.747709046,0.467935385,0,70,5.45,12.9,36621.1,9920,23858.2,26700,25433.3,-5.34
SGTf09,2015,QERC,9.55262,-83.80635,F,3,3.956802241,1.527411728,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
SGTf12,2015,PH,9.54955,-83.81023,F,NA,-0.261384148,0.467935385,1,89.75,7.18,12.45,37956.25,8012.5,22019.675,29975,20483.6,-4.9575
SGTf13,2015,QERC,9.55262,-83.80635,F,5,2.556802241,0.997673556,2,79,6.09,13,49591.1,13000,20464.2,36600,28333.8,-4.57
SGTf14,2015,QERC,9.55262,-83.80635,F,NA,1.647709046,0.467935385,2,78.85714286,6.247142857,12.77142857,49591.07143,7954.285714,19598.57143,41628.57143,20108.17143,-5.198571429
SGTf15,2015,QERC,9.55262,-83.80635,F,NA,-1.443197759,-0.061802787,0,104,7.65,13.6,38909.9,9160,24934.9,29800,24792.6,-5.24
SGTf16,2016,QERC,9.55262,-83.80635,F,2,-2.652290954,-1.12127913,1,59,4.53,13,41961.7,11400,24465.8,30500,32157.5,-4.73
SGTf17,2016,QERC,9.55262,-83.80635,F,2,-1.861384148,-1.386148216,4,67.75,6.2925,10.9475,60844.425,8390,27070.05,52475,21676.55,-3.9675
SGTf18,2016,QERC,9.55262,-83.80635,F,3,1.765895435,-1.12127913,5,57.75,4.94,12.5,43678.275,8582.5,28333.875,35075,24865.3,-4.7725
SGTf19,2016,QERC,9.55262,-83.80635,F,2,-0.234104565,-0.591540958,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
SGTf20,2016,QERC,9.55262,-83.80635,F,2,-0.652290954,0.467935385,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
SGTf21,2016,QERC,9.55262,-83.80635,F,2,-2.652290954,1.262542642,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
SGTf22,2016,QERC,9.55262,-83.80635,F,2,0.347709046,3.116626243,2,87.66666667,6.803333333,12.96666667,77565.53333,8403.333333,27270.06667,69133.33333,25326.03333,-4.406666667
SGTf23,2016,QERC,9.55262,-83.80635,F,2,-2.234104565,-0.591540958,0,63.66666667,6.98,9.146666667,70699.06667,5850,24810.93333,64833.33333,21222.83333,-4.346666667
SGTf24,2016,QERC,9.55262,-83.80635,F,5,0.138615852,0.203066299,1,58,4.37,13.3,87738,7630,32385.5,80100,27221.4,-4.47
SGTf25,2016,QERC,9.55262,-83.80635,F,5,0.347709046,-0.061802787,0,60.2,5.086,11.9,43640.12,9312,27551.94,34320,25997.98,-4.94
SGTf26,2016,QERC,9.55262,-83.80635,F,3,-0.652290954,-0.061802787,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
SGTf28,2016,QERC,9.55262,-83.80635,F,3,1.138615852,NA,17,80.625,6.6975,12.3875,84400.1875,4575,35383.8,79825,21373.3375,-5.285
SGTf29,2016,QERC,9.55262,-83.80635,F,4,-2.443197759,-1.651017301,9,66.2,5.527333333,12.71333333,49438.48667,9912,21618.16667,39520,22537.56,-4.598666667
SGTf30,2016,QERC,9.55262,-83.80635,F,4,-2.443197759,0.467935385,2,55,5.265,10.5,82397.5,9920,34635.8,72500,27683,-4.555
SGTf31,2016,CC,-9.55435,-83.80546,F,5,-0.443197759,-0.591540958,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
SGTf32,2016,QERC,9.55262,-83.80635,F,6,-0.443197759,-0.591540958,5,21,1.1,19.2,38147,13700,19182.5,24400,31688.8,-4.06
SGTf33,2016,CC,-9.55435,-83.80546,F,6,-0.443197759,-0.591540958,2,80.33333333,7.006666667,11.5,39164.23333,8136.666667,25459.16667,31033.33333,30205.16667,-5.25
SGTm001,2014,QERC,9.55262,-83.80635,M,3,0.97498863,1.379095229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SGTm002,2014,QERC,9.55262,-83.80635,M,3,0.720429462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SGTm003,2014,QERC,9.55262,-83.80635,M,6,0.556802241,-1.986360691,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SGTm004,2014,QERC,9.55262,-83.80635,M,6,0.556802241,-1.986360691,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SGTm005,2014,QERC,9.55262,-83.80635,M,5,1.556802241,-0.864542051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SGTm006,2014,QERC,9.55262,-83.80635,M,4,-0.443197759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SGTm007,2014,QERC,9.55262,-83.80635,M,4,-1.02501137,-0.864542051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SGTm008,2014,QERC,9.55262,-83.80635,M,6,-1.861384148,-0.864542051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SGTm009,2014,QERC,9.55262,-83.80635,M,6,0.138615852,0.257276589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SGTm010,2014,QERC,9.55262,-83.80635,M,5,-1.443197759,-0.864542051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SGTm013,2014,QERC,9.55262,-83.80635,M,6,0.556802241,-1.986360691,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
